0x87, 0x86, 0x85, 0x84, 0x83, 0x82, 0x81, 0x80, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x80, 0x81, 0x82, 0x83, 0x84, 0x85, 0x86, 0x87, 0x87, 0x87
0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x24, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x24, 0x87
0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x24, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x24
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x24, 0x24, 0x24, 0x24
0x24, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x24, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x24, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x3C, 0xBA, 0xC9, 0xBB, 0xB7, 0X20, 0xB7
0xB9, 0xDD, 0x3E, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x83, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x83, 0x20
0x20, 0x20, 0x20, 0x20, 0x83, 0x83, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0x91, 0x91, 0x20, 0x20, 0x20, 0x20, 0x20
0x91, 0x91, 0x20, 0x20, 0x20, 0xE6, 0x87, 0x87, 0xE7, 0x20, 0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D, 0x20, 0x20, 0x20, 0x20, 0x20, 0x9C, 0x9D, 0x20, 0x20
0x20, 0x20, 0x20, 0x9C, 0x9D, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0xE4, 0x3D, 0x3D, 0x3D, 0xE5, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x83, 0x87, 0x87, 0x83, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20
0x83, 0x87, 0x87, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x24, 0x24, 0x24, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87
0x87, 0x86, 0x85, 0x84, 0x83, 0x82, 0x81, 0x80, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x20, 0x80, 0x81, 0x82, 0x83, 0x84, 0x85, 0x86, 0x87, 0x87, 0x87
0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0x87, 0xE4, 0x3D, 0x3D
0x3D, 0xE5, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x87, 0x87, 0x87, 0x87, 0x87, 0x24, 0x87, 0x87, 0x87
